part_of_speech,gloss,target_child_age,corpus_name,speaker_role,age,role,reduplicationmaybespace,reduplication
v:aux conj adj n v pro v:cop pro:wh sfp,能 和 小 羊 说说 这 是 什么 吗,58.001190989548036,AcadLang,Adult,58,adult,说说,说说
v v n:name poss,吃 起来 甜甜 的,72.00147846978378,AcadLang,Target_Child,72,child,甜甜,甜甜
n nom,圆圆 的,70.00143740117866,AcadLang,Target_Child,70,child,圆圆,圆圆
pro v n n,你 看看 苹果 皮,70.00143740117866,AcadLang,Adult,70,adult,看看,看看
n n nom,圆形 形状 的,70.00143740117866,AcadLang,Target_Child,70,child,形 形,形形
adv v n nom,还 有 圆圆 的,70.00143740117866,AcadLang,Target_Child,70,child,圆圆,圆圆
tag pro v cleft prep pro:wh,对 它 圆圆 的 跟 什么,70.00143740117866,AcadLang,Adult,70,adult,圆圆,圆圆
v:dirc pro v n,来 你 看看 苹果,70.00143740117866,AcadLang,Adult,70,adult,看看,看看
post n nom,这里 尖尖 的,70.00143740117866,AcadLang,Target_Child,70,child,尖尖,尖尖
conj sfp pro v adv v:cop v nom,而且 呢 它 滚 起来 是 滑滑 的,72.00147846978378,AcadLang,Target_Child,72,child,滑滑,滑滑
prep asp n adj n,跟 着 线条 慢慢 画,70.00143740117866,AcadLang,Target_Child,70,child,慢慢,慢慢
post n nom,这里 尖尖 的,70.00143740117866,AcadLang,Adult,70,adult,尖尖,尖尖
v adv v nom,看 起来 圆圆 的,59.00121152385059,AcadLang,Target_Child,59,child,圆圆,圆圆
v v n nom,闻 起来 香香 的,59.00121152385059,AcadLang,Target_Child,59,child,香香,香香
co adv adj co pro v:dirc v pro cl,哦 真 棒 那 你 来 说说 这 个,72.00147846978378,AcadLang,Adult,72,adult,说说,说说
n sfp v:cop n nom,皮球 啊 是 圆圆 的,45.00092404361486,AcadLang,Target_Child,45,child,圆圆,圆圆
pro v cpt v n:name poss,我 觉 得 酸酸 甜甜 的,70.00143740117866,AcadLang,Target_Child,70,child,酸酸,酸酸
v pro pro v poss n,像 我 们 弯弯 的 彩虹,72.00147846978378,AcadLang,Target_Child,72,child,弯弯,弯弯
adj co pro pro v pro v:cop pro:wh sfp,好 那 我 们 看看 这 是 什么 呢,60.00123205815314,AcadLang,Adult,60,adult,看看,看看
v n:name poss adj sfp,酸酸 甜甜 的 好吃 吗,70.00143740117866,AcadLang,Adult,70,adult,酸酸,酸酸
n n v:cop adj nom,苹果 外面 是 红红 的,70.00143740117866,AcadLang,Target_Child,70,child,红红,红红
n v:cop adj nom,嗯 外面 是 红红 的,70.00143740117866,AcadLang,Adult,70,adult,红红,红红
adv v n v:aux v n,还 有 线条 要 慢慢 画,70.00143740117866,AcadLang,Target_Child,70,child,慢慢,慢慢
n nom,圆圆 的,70.00143740117866,AcadLang,Adult,70,adult,圆圆,圆圆
post v:cop adj nom,里面 是 白白 的,70.00143740117866,AcadLang,Target_Child,70,child,白白,白白
v:aux v n,哦 要 慢慢 画,70.00143740117866,AcadLang,Adult,70,adult,慢慢,慢慢
post v:cop adj poss adj,里面 是 白白 的 好,70.00143740117866,AcadLang,Adult,70,adult,白白,白白
neg adj nom n pro adj nom,没 熟 的 时候 它 软软 的,70.00143740117866,AcadLang,Target_Child,70,child,软软,软软
pro cl n pro cl n v:cop adj poss n,这 个 苹果 这 个 苹果 是 红红 的 皮,72.00147846978378,AcadLang,Target_Child,72,child,红红,红红
v poss n n,圆圆 的 像 球,59.00121152385059,AcadLang,Target_Child,59,child,圆圆,圆圆
neg adj nom n adj nom,没 熟 的 时候 软软 的,70.00143740117866,AcadLang,Adult,70,adult,软软,软软
pro v adv v:cop neg v:cop v poss adj neg tag,它 摸 起来 是 不 是 滑滑 的 对 不 对,70.00143740117866,AcadLang,Adult,70,adult,滑滑,滑滑
n v:cop adj nom,外面 是 红红 的,72.00147846978378,AcadLang,Target_Child,72,child,红红,红红
adv v:cop n nom,然后 是 圆圆 的,58.001190989548036,AcadLang,Target_Child,58,child,圆圆,圆圆
adv v n nom,也 像 圆圆 的,59.00121152385059,AcadLang,Target_Child,59,child,圆圆,圆圆
adv cleft,硬硬 的,70.00143740117866,AcadLang,Target_Child,70,child,硬硬,硬硬
n poss adj sfp,嗯 香香 的 对 吗,70.00143740117866,AcadLang,Adult,70,adult,香香,香香
v:resc asp poss n adj nom,熟 了 的 时候 硬硬 的,70.00143740117866,AcadLang,Adult,70,adult,硬硬,硬硬
pro v:aux n n pro:wh n,你 想想 苹果 外面 什么 颜色,70.00143740117866,AcadLang,Adult,70,adult,想想,想想
