part_of_speech,gloss,target_child_age,corpus_name,speaker_role,age,role
on,叭,36.00073923489189,Zhou2,Target_Child,36,child
num adv n adv on v v:resc asp pro:wh sfp,一 只 皮皮鼠 就 嘣 摔 到 了 什么 啊,36.00073923489189,Zhou2,Mother,36,adult
on on,呜 呜,42.0008624407072,Zhou2,Target_Child,42,child
on on,呜 呜,42.0008624407072,Zhou2,Target_Child,42,child
on,呱呱呱,42.0008624407072,Zhou2,Target_Child,42,child
on,呱呱呱,42.0008624407072,Zhou2,Mother,42,adult
on,呜,42.0008624407072,Zhou2,Mother,42,adult
on,嘿嘿嘿,42.0008624407072,Zhou2,Mother,42,adult
pro prep n post on on n v v,他们 在 床 上面 砰 砰 地 乱蹦 乱跳,42.0008624407072,Zhou2,Mother,42,adult
on,呱呱呱,42.0008624407072,Zhou2,Mother,42,adult
v:cop pro adv v pro cl n adv prep n post on on n v v,是 他们 一 吃 这 个 糖 就 在 床 上 砰 砰 地 跳 起来,42.0008624407072,Zhou2,Mother,42,adult
n v asp v cpt on on n v v v:resc asp n post v:dirc v v:resc asp n v adj asp n,皮皮鼠 听见 了 吓 得 咕噜 咕噜 滚 下来 跌 到 了 床 下面 去 折 断 了 手臂 摔 破 了 头,42.0008624407072,Zhou2,Mother,42,adult
on,呜,42.0008624407072,Zhou2,Mother,42,adult
on,嘿嘿嘿,42.0008624407072,Zhou2,Mother,42,adult
on,啪,36.00073923489189,Zhou2,Mother,36,adult
adv on v v:resc asp,然后 啪 吐 掉 了,36.00073923489189,Zhou2,Mother,36,adult
on,呜,42.0008624407072,Zhou2,Target_Child,42,child
pro v asp post adv prep n post on n v,他们 吃 了 以后 就 在 柜子 上面 兵砰乒砰 地 乱跳,42.0008624407072,Zhou2,Mother,42,adult
on,呜,42.0008624407072,Zhou2,Mother,42,adult
pro prep n post adv on n v v,他们 在 衣橱 上 又 兵砰兵砰 地 乱蹦 乱跳,42.0008624407072,Zhou2,Mother,42,adult
on,哈哈哈,42.0008624407072,Zhou2,Target_Child,42,child
adv adv on on n v asp adv,然后 就 呜 呜 地 哭 了 起来,42.0008624407072,Zhou2,Mother,42,adult
pro cl n v asp n on v,这 个 糖 吃 了 会 乒 乱跳,42.0008624407072,Zhou2,Mother,42,adult
on,咚咚咚,42.0008624407072,Zhou2,Mother,42,adult
on,嘣,48.000985646522516,Zhou2,Target_Child,48,child
adv num adv n v v:resc asp v cpt on on n v v v:resc n post adv sfp v n v adj asp,然后 一 只 皮皮鼠 听 到 了 吓 得 咕噜 咕噜 滚 下来 跌 到 床 下面 然后 啊 把 膀子 摔 破 了,42.0008624407072,Zhou2,Mother,42,adult
n v asp v cpt on on n v v v:resc asp n post v:dirc v v:resc asp n v adj asp n,皮皮鼠 听见 了 吓 得 咕噜 咕噜 滚 下来 跌 到 了 床 下面 去 折 断 了 手臂 摔 破 了 头,42.0008624407072,Zhou2,Mother,42,adult
adv sfp n:relat prep v v:dirc poss num adv n v pro prep pro adj v neg v v conj sfp pro poss n:relat n:relat num v:dirc pro adv v asp co n pro prep n on on on n v v,然后 呢 妈妈 对 剩下 来 的 三 只 皮皮鼠 说 你们 给 我 好好 睡觉 不 准 吵 可是 啊 它 的 爸爸 妈妈 一 走 它们 又 吃 了 那个 跳跳糖 它们 在 柜子 砰 砰 砰 地 乱蹦 乱跳,42.0008624407072,Zhou2,Mother,42,adult
